name,price,status,shipping,freereturns,itemssold
,,False,0,False,0
"Apple MacBook Pro 5.5 Mid 2009 13.3"" A1278, Core 2 Duo, 240GB SSD, 8GB RAM",29999,Pre-Owned,1999,False,0
APPLE MACBOOK AIR 13 INCH LAPTOP / TURBO BOOST / 3 YEAR WARRANTY / 256GB SSD,34900,Pre-Owned,0,True,0
Apple MacBook Pro 15 inch Laptop | QUAD CORE i7 | 16GB RAM | MacOS | 1TB SSD!,64900,Pre-Owned,0,True,0
APPLE MACBOOK PRO RETINA 13 INCH | CORE i7 3.1GHZ LAPTOP | 2015-2016 | 1TB SSD!,39900,Refurbished,0,True,0
"15"" Apple MacBook Pro RETINA OS-2020 Quad Core i7 3.4Ghz 16GB 1TB SSD - WARRANTY",75777,Refurbished,0,True,0
APPLE MACBOOK AIR 11 INCH LAPTOP | TURBO BOOST | 3 YEAR WARRANTY | SSD,29900,Pre-Owned,0,True,0
Apple MacBook Pro 15 inch Laptop / Quad Core i7 / 16GB RAM 1TB / MacOS2017,59700,Refurbished,0,True,0
"Apple 13"" MacBook Air | 1.7GHz i5 4GB RAM 128GB SSD Certified Refurbished A1369",35900,Certified - Refurbished,0,False,0
"2020 Apple MacBook Air 13"" Gray | 1.1GHz i5 8GB 256 GB SSD Certified Refurbished",73999,Certified - Refurbished,0,False,0
"Apple MacBook Pro 13"" 2.9GHz i7 8GB RAM 480GB SSD Certified Refurbished A1278",48999,Certified - Refurbished,0,False,0
"Apple 13"" MacBook Air | 2.0GHz i7 8GB RAM 256GB SSD Certified Refurbished A1466",42999,Certified - Refurbished,0,False,0
"2020 Apple MacBook Air 13"" Silver 1.1GHz i3 8GB 256GB SSD Certified Refurbished",71999,Certified - Refurbished,0,False,0
"Apple MacBook Pro 15"" 2.3GHz i7 8GB RAM 480GB SSD Certified Refurbished A1286",50999,Certified - Refurbished,0,False,0
"Apple 15"" MacBook Pro 2012 - CERTIFIED REFURBISHED - Core i7 2.3GHz 500GB Wrnty",49900,Certified - Refurbished,0,False,0
MacBook Pro 13 inch Apple Laptop 2011 | Certified Refurbished | Core i5 | 500GB,39900,Certified - Refurbished,0,False,0
APPLE MACBOOK AIR 13 INCH LAPTOP / TURBO BOOST / 3 YEAR WARRANTY / 128GB SSD,28900,Pre-Owned,0,True,0
"New ListingApple MacBook Pro 13"" 2016, 2.9 GHz, 4 Thunderbolt3 Ports 512GB ssd, 16gb Ram",44700,Pre-Owned,1305,False,0
"Apple MacBook Pro 13"" Laptop | 1TB SSD | 16GB RAM | MacOS | WARRANTY ! ! !",44900,Pre-Owned,0,True,0
"13"" Apple MacBook Air i5 2.7ghz TURBO BOOST 128GB SSD OSx-2017 - 3 YEAR WARRANTY",32500,Pre-Owned,0,True,727
Apple MacBook Pro 13 Laptop | Space Gray | 2017-2018 | 2.3GHz i5 | SSD | RETINA,69900,Refurbished,0,True,0
"13"" Apple MacBook Air i5 2.8GHz TURBO BOOST 256GB SSD MACOSX - 3 YEAR WARRANTY",34900,Pre-Owned,0,True,0
"EXCELLENT Apple MacBook Pro 13"" Laptop | Used | 500 GB | MacOS | WARRANTY!",34900,Refurbished,0,True,0
MacBook Pro 15 inch Laptop / 3.3GHz Quad Core i7 / 16GB RAM 1TB SSD / MacOS,63500,Refurbished,0,True,0
APPLE MACBOOK PRO RETINA 15 INCH | CORE i7 2.8GHZ LAPTOP | 2015-2016 | 1TB SSD!,39900,Pre-Owned,0,True,0
APPLE MACBOOK AIR 13 INCH LAPTOP | 2.8GHz TURBO BOOST | OS-2017 | WARRANTY | SSD,34900,Pre-Owned,0,True,25
"Apple MacBook Pro A1398 BTO/CTO i7-4870HQ 2.50GHZ 16GB 256GB SSD 15"" (13172)",30100,Pre-Owned,3324,False,0
Apple MacBook Pro 13 | MacOS Big Sur 2020 | 16GB RAM | 1TB SSD | WARRANTY | ,57465,Pre-Owned,0,True,0
APPLE MACBOOK AIR 13 INCH LAPTOP | TURBO BOOST | 3 YEAR WARRANTY | SSD OS2019,38200,Refurbished,0,True,0
Apple MacBook Pro 13 Laptop | Space Gray | 2017-2018 | 2.3GHz i5 | SSD | RETINA,69900,Pre-Owned,0,True,203
"New ListingApple MacBook Pro 13"", M1, Just 10 Charge Cycles! Space Gray, MYD85LL/A",61000,Pre-Owned,2510,False,0
"Apple MacBook Air 13"" TURBO BOOST 2.6ghz i5 256GB SSD OS-2020 | 3 YEAR WARRANTY",41200,Pre-Owned,0,True,0
APPLE MACBOOK PRO 15 LAPTOP Quad Core i7 16GB RAM 1TB SSD OS2019 - WARRANTY,63700,Pre-Owned,0,True,0
"MacBook Pro 13"" Apple Laptop | i7 | 1TB SSD | 16GB RAM | MacOS | OS2018/2019",25700,Pre-Owned,0,True,0
Apple MacBook Pro 15 inch TOUCH BAR | SPACE GRAY | 256GB SSD | 2017-2018,89900,Pre-Owned,0,True,39
"Apple MacBook Pro A1278 13"" INTEL i5 2.4GHZ 4GB 500GB DVDRW HIGH SIERRA  OS 2011",14000,Refurbished,0,False,0
MacBook Pro 13” - MINT CONDITION,56000,Pre-Owned,1500,False,0
"MacBook Pro 13"" Apple Laptop | i7 | 1TB SSD | 16GB RAM | MacOS | WARRANTY",37900,Refurbished,0,True,0
"12"" Apple MacBook Retina 2016-2017 Pink 1.1GHz m3 8GB RAM 256GB SSD MMGL2LL/A",58900,Pre-Owned,0,True,0
"Apple Macbook Pro 13"" Core i5 2.5GHz 8GB RAM 500GB HDD | MacOS Catalina",26500,Refurbished,0,True,0
"New ListingMacBook Pro 3.1GHz i7, 16GB RAM, 1TB SSD,  13-Inch Retina, Early 2015",54599,Pre-Owned,1625,False,0
New Listing2017 MacBook Pro Retina 13” A1708 Space Gray—2.3Ghz i5 8GB 128GB Great Condition,59000,Pre-Owned,2365,False,0
New ListingApple MacBook Pro 2017 13 inch Touch Bar 3.1GHz i5 8GB Ram 512GB SSD A1706 Lapto,38500,Pre-Owned,1625,False,0
"New ListingApple MacBook Pro A1708 13"" (256GB EXTERNAL, Intel Core i7, 2.5 GHz, 16 GB) 2017",49900,Pre-Owned,3140,False,0
"Apple 13"" MacBook Air | 1.7GHz i5 4GB RAM 128GB SSD Certified Refurbished A1369",35900,Certified - Refurbished,0,True,397
Apple MacBook Pro 15 inch Laptop | QUAD CORE i7 | 16GB RAM | MacOS | 1TB SSD!,63900,Pre-Owned,0,True,0
"*Grade C* Apple MacBook Pro 13"" Core i5 2.7Ghz 2015 256GB SSD 8GB RAM",29317,Pre-Owned,0,True,0
Apple 13 MacBook Air TURBO BOOST i7 / 512GB SSD OSx-2020 -8GB  WARRANTY,51500,Refurbished,0,True,59
Apple MacBook Pro 13 inch Laptop | Space Gray | 2017-2018 | SSD | RETINA,74900,Refurbished,0,True,20
"Apple MacBook Pro Retina 15"" | 2.6 i7 16GB Ram 512GB SSD OSX 2020 Refurbished",56900,Refurbished,0,True,36
2017/2018 Apple MacBook Air 13 i7 3.2GHz Turbo 8GB RAM 512GB SSD - WARRANTY,58900,Pre-Owned,0,True,0
